kick, snar, hcls, hopn, ltom, mtom, htom, cras, ride, bpm, tsig, pos_in_bar, tau_d, tau_g
19.541220,19.958395,19.780197,19.636356,19.529585,19.610310,19.763821,19.751118,19.625305,133.271881,1.344081,0.426958,4952.374512,4949.199219
22.122311,22.194246,22.198757,22.117971,21.565752,21.901817,21.977745,21.840361,21.284191,155.085052,1.365072,0.269737,5826.943359,5825.094238
39.251743,54.223270,194.721985,-93.613518,69.333328,82.135277,122.413857,53.788521,-58.823528,168.561752,1.706993,1.064327,406.742035,1049.240967
22.772223,24.196039,24.210167,20.527752,21.142185,20.424088,23.435513,21.686741,21.386295,151.572281,1.350937,0.271201,5641.727539,5649.803223
39.249756,54.227730,194.714020,-93.606041,69.325523,82.126389,122.405388,53.785770,-58.828629,168.558533,1.706805,1.064504,407.009705,1049.224854
38.077599,52.521519,190.470261,-93.162239,67.040810,79.605545,119.436295,52.683548,-59.179482,167.919067,1.689014,1.111569,524.486877,1141.768677
38.361275,53.048302,191.553665,-93.223434,67.663338,80.231964,120.136505,52.924427,-59.105797,168.044678,1.692508,1.100608,493.342621,1114.857178
38.284378,53.028881,191.333694,-93.176331,67.509071,80.079475,119.967087,52.853340,-59.150913,168.018906,1.691246,1.103183,499.537140,1120.363525
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
